sentiment,confidence,text
즐거운(신나는),0.6192586421966553,나는 9시반에 일어나서 쉬다가 이제 다같이 점심먹으러 엄마한테 가는중이야 ㅎㅎ
즐거운(신나는),0.41386547684669495,그래그래 ㅋㅋ
슬픔(우울한),0.5649047493934631,어제 연아는 12시까지 찡찡대다가 잠듬
짜증남,0.683192789554596,죽을 뻔…
슬픔(우울한),0.8190935254096985,엄청 고생했네 ㅠㅠ
슬픔(우울한),0.5991511940956116,12시라니 ㅠㅠ
슬픔(우울한),0.8746527433395386,낮잠도 어설펐고 모기도 물렸고 ㅠㅠ
걱정스러운(불안한),0.7743449807167053,"안좋은게 겹쳤네
ㅠㅠ 모기 많이물렸나? ㅠ"
기쁨(행복한),0.37879621982574463,4시20분 도착예정이예여!
기쁨(행복한),0.43456265330314636,오케이
일상적인,0.828665554523468,연아는 자?
일상적인,0.3703296482563019,여보 주차스티커 받아와야해용
즐거운(신나는),0.5129668712615967,응 알았어! ㅋ
걱정스러운(불안한),0.8073769807815552,애들 자?
걱정스러운(불안한),0.6813784837722778,여보 바뻐?
짜증남,0.33127790689468384,아니!
짜증남,0.30997583270072937,왜용?
슬픔(우울한),0.6252137422561646,나좀 도와줘
일상적인,0.696684718132019,어떤거?
걱정스러운(불안한),0.5751306414604187,나 애플 비번 까먹어서 여보가 도와줘야함
걱정스러운(불안한),0.5412300825119019,엥? 집에있어야해?
일상적인,0.4937456250190735,아니 여보 핸폰으로 가능해요
일상적인,0.5423455238342285,아 그럼가능해용
즐거운(신나는),0.3592939078807831,다이소거든ㄹㅎ
일상적인,0.7580327391624451,설정에 들어가면 여보 이름 눌러봐
일상적인,0.8064644932746887,거기에 로그인 및 보안
일상적인,0.6286409497261047,계정 복구
즐거운(신나는),0.36030077934265137,거기에 남준우
일상적인,0.7098388671875,724548
고마운,0.2535414695739746,이것도 안되네 ㅠㅠ 고마워
슬픔(우울한),0.809332013130188,ㅠㅠㅠㅠ아이고 ㅠ
기쁨(행복한),0.43160995841026306,웅웅
즐거운(신나는),0.5148521661758423,차량등록하고 부동산도 다녀왔당 ㅎㅎ
고마운,0.40819019079208374,오케이! 고마워요 ㅋ
설레는(기대하는),0.4380474090576172,여보 애플 펜슬 팁 뭐 써?
기쁨(행복한),0.5114817023277283,테무에서 저렴이 사서 쓰는중ㅋㅋ
즐거운(신나는),0.5589970946311951,그려 ㅋㅋ
슬픔(우울한),0.7801660895347595,거기 피크닉존이 원래 잇었는데 없어진거 같애
일상적인,0.3256077468395233,그래?
기쁨(행복한),0.6113271713256836,오 물놀이터 좋다
생각이 많은,0.2746333181858063,깊지도않고 좋네
즐거운(신나는),0.45441484451293945,이렇게 3개네 ㅋ
즐거운(신나는),0.5137067437171936,여기도 좋아 보이긴 하네 ㅋ
기쁨(행복한),0.5715916752815247,오호 이뿌다 ㅎㅎ
일상적인,0.7910727262496948,안성에서 30분 정도 거리
즐거운(신나는),0.4070713520050049,팜랜드도 시댁에서 20분정도 거리긴해 ㅎㅎ
일상적인,0.6476448178291321,근데 저긴 한 20km 정도 거리라서 제일 멀긴해
걱정스러운(불안한),0.541388750076294,천안은 시간제여서 좀 촉박할거같아
즐거운(신나는),0.34519293904304504,그렇군 ㅋ
일상적인,0.5132768154144287,팜랜드도 좋을거같은데
일상적인,0.5999429225921631,근데 그냥 물놀이를 쭉 할거면
일상적인,0.7097845673561096,맞춤랜드가 제일 좋을거 같애
걱정스러운(불안한),0.47896498441696167,팜랜드는 QR로 예약해야해서 기다려야 할지도
생각이 많은,0.45893004536628723,그렇네
생각이 많은,0.2344537228345871,수영복잘챙겨가야겠다
일상적인,0.579915463924408,사진 2장
즐거운(신나는),0.2697717547416687,오늘 싹 정리했쥐
기쁨(행복한),0.4601740837097168,ㅋㅋㅋ 고생했네 ㅋ
일상적인,0.4752438962459564,"안성놀이방식당 뼈해장국 감자탕 맛집, 본가왕뼈감자탕 출처 : 우주랑 토.. | 블로그"
일상적인,0.46785780787467957,연아 자?
즐거운(신나는),0.5643852353096008,응 잔다 ㅋ
즐거운(신나는),0.4854545593261719,후후후
일상적인,0.33861154317855835,재웠지
즐거운(신나는),0.5234724879264832,욜ㅋㅋㅋㅋㅋㅋ
즐거운(신나는),0.6806873083114624,스벅에서 커피사가려고!ㅎ
즐거운(신나는),0.45944592356681824,그려 ㅋ
기쁨(행복한),0.4992638826370239,ㅋㅋㅋ쉬고있어ㅋㅋㅋ
즐거운(신나는),0.5016487240791321,응 ㅋ
일상적인,0.7009363174438477,포테토칩 마가렛트 아이스크림
일상적인,0.3950068950653076,생수작은거 사와주세용
즐거운(신나는),0.6388214826583862,나 내일 대전다녀올게여!
짜증남,0.6613246202468872,응 알았어
설레는(기대하는),0.3086242973804474,그럼 내일은 일찍 갈게
기쁨(행복한),0.43232250213623047,웅웅!
즐거운(신나는),0.5037206411361694,오케이 ㅋ
일상적인,0.3033961355686188,사진
즐거운(신나는),0.5875504016876221,ㅋㅋㅋㅋㅋㅋㅋㅋ
일상적인,0.3033961355686188,사진
즐거운(신나는),0.5664021372795105,찾았당ㅋㅋ
즐거운(신나는),0.4581618905067444,어디있었어? ㅋ
즐거운(신나는),0.43079641461372375,파우치안에 ㅋㅋㅋㅋ
기쁨(행복한),0.4659337103366852,ㅋㅋㅋ 그래도 다행이네 ㅋㅋㅋ
설레는(기대하는),0.6293125748634338,이제 대전 가는거야?
기쁨(행복한),0.5695369839668274,12시44분 차라 아직 여유있엉 ㅎㅎ
설레는(기대하는),0.9083015322685242,그럼 나 오늘 몇시까지 가면대?
즐거운(신나는),0.5262324810028076,5시반에 연아 오니까 5시까지 와줘야할거같아용!
짜증남,0.5142770409584045,알겠어
