sentiment,confidence,text
Positive,0.9546900987625122,나는 9시반에 일어나서 쉬다가 이제 다같이 점심먹으러 엄마한테 가는중이야 ㅎㅎ
Negative,0.9550290107727051,그래그래 ㅋㅋ
Positive,0.7632063627243042,어제 연아는 12시까지 찡찡대다가 잠듬
Negative,0.9327414035797119,죽을 뻔…
Negative,0.9811983108520508,엄청 고생했네 ㅠㅠ
Negative,0.5053085684776306,12시라니 ㅠㅠ
Negative,0.9635308980941772,낮잠도 어설펐고 모기도 물렸고 ㅠㅠ
Negative,0.9958927631378174,"안좋은게 겹쳤네
ㅠㅠ 모기 많이물렸나? ㅠ"
Positive,0.9869415163993835,4시20분 도착예정이예여!
Negative,0.569199800491333,오케이
Negative,0.9269380569458008,연아는 자?
Negative,0.8444159626960754,여보 주차스티커 받아와야해용
Positive,0.9268825650215149,응 알았어! ㅋ
Negative,0.8876316547393799,애들 자?
Negative,0.7083136439323425,여보 바뻐?
Negative,0.9931204319000244,아니!
Negative,0.9957446455955505,왜용?
Positive,0.7581396698951721,나좀 도와줘
Negative,0.9532671570777893,어떤거?
Negative,0.9644826650619507,나 애플 비번 까먹어서 여보가 도와줘야함
Negative,0.9494777321815491,엥? 집에있어야해?
Negative,0.9513598680496216,아니 여보 핸폰으로 가능해요
Negative,0.9754005074501038,아 그럼가능해용
Positive,0.5050615668296814,다이소거든ㄹㅎ
Positive,0.6300432682037354,설정에 들어가면 여보 이름 눌러봐
Negative,0.9460369348526001,거기에 로그인 및 보안
Positive,0.8472119569778442,계정 복구
Positive,0.5588499903678894,거기에 남준우
Positive,0.5824654698371887,724548
Negative,0.9961726069450378,이것도 안되네 ㅠㅠ 고마워
Positive,0.5039546489715576,ㅠㅠㅠㅠ아이고 ㅠ
Negative,0.8873321413993835,웅웅
Positive,0.9782724380493164,차량등록하고 부동산도 다녀왔당 ㅎㅎ
Positive,0.8971150517463684,오케이! 고마워요 ㅋ
Positive,0.5100305080413818,여보 애플 펜슬 팁 뭐 써?
Negative,0.9017709493637085,테무에서 저렴이 사서 쓰는중ㅋㅋ
Negative,0.9433026313781738,그려 ㅋㅋ
Negative,0.589862585067749,거기 피크닉존이 원래 잇었는데 없어진거 같애
Negative,0.9786887168884277,그래?
Positive,0.9849321246147156,오 물놀이터 좋다
Positive,0.9856179356575012,깊지도않고 좋네
Negative,0.953385055065155,이렇게 3개네 ㅋ
Positive,0.9327797889709473,여기도 좋아 보이긴 하네 ㅋ
Positive,0.9841969609260559,오호 이뿌다 ㅎㅎ
Negative,0.9440082907676697,안성에서 30분 정도 거리
Positive,0.791019082069397,팜랜드도 시댁에서 20분정도 거리긴해 ㅎㅎ
Positive,0.7876712083816528,근데 저긴 한 20km 정도 거리라서 제일 멀긴해
Positive,0.836516797542572,천안은 시간제여서 좀 촉박할거같아
Negative,0.9317989945411682,그렇군 ㅋ
Positive,0.9030362367630005,팜랜드도 좋을거같은데
Negative,0.7058321833610535,근데 그냥 물놀이를 쭉 할거면
Positive,0.9824112057685852,맞춤랜드가 제일 좋을거 같애
Negative,0.9081929922103882,팜랜드는 QR로 예약해야해서 기다려야 할지도
Negative,0.9687247276306152,그렇네
Positive,0.7397304177284241,수영복잘챙겨가야겠다
Negative,0.9750891327857971,사진 2장
Positive,0.9861332774162292,오늘 싹 정리했쥐
Negative,0.9745334982872009,ㅋㅋㅋ 고생했네 ㅋ
Positive,0.9648891091346741,"안성놀이방식당 뼈해장국 감자탕 맛집, 본가왕뼈감자탕 출처 : 우주랑 토.. | 블로그"
Negative,0.9477465748786926,연아 자?
Negative,0.7204964756965637,응 잔다 ㅋ
Negative,0.9878002405166626,후후후
Negative,0.9532549381256104,재웠지
Positive,0.5050615668296814,욜ㅋㅋㅋㅋㅋㅋ
Positive,0.9754654765129089,스벅에서 커피사가려고!ㅎ
Negative,0.9433026313781738,그려 ㅋ
Positive,0.5050615668296814,ㅋㅋㅋ쉬고있어ㅋㅋㅋ
Negative,0.7283212542533875,응 ㅋ
Positive,0.8763388395309448,포테토칩 마가렛트 아이스크림
Negative,0.9242022633552551,생수작은거 사와주세용
Positive,0.9414195418357849,나 내일 대전다녀올게여!
Negative,0.9295995831489563,응 알았어
Negative,0.6945797204971313,그럼 내일은 일찍 갈게
Positive,0.9499585628509521,웅웅!
Positive,0.5535699725151062,오케이 ㅋ
Negative,0.9466645121574402,사진
Positive,0.5050615668296814,ㅋㅋㅋㅋㅋㅋㅋㅋ
Negative,0.9466645121574402,사진
Positive,0.5050615668296814,찾았당ㅋㅋ
Negative,0.6058266758918762,어디있었어? ㅋ
Negative,0.7927703261375427,파우치안에 ㅋㅋㅋㅋ
Positive,0.7478843331336975,ㅋㅋㅋ 그래도 다행이네 ㅋㅋㅋ
Positive,0.681450605392456,이제 대전 가는거야?
Positive,0.9803417921066284,12시44분 차라 아직 여유있엉 ㅎㅎ
Negative,0.9627482891082764,그럼 나 오늘 몇시까지 가면대?
Positive,0.9530139565467834,5시반에 연아 오니까 5시까지 와줘야할거같아용!
Positive,0.5832138061523438,알겠어
Positive,0.9740279316902161,웅웅 다녀올게!
Positive,0.6361818313598633,응!
Positive,0.9039171934127808,난 엄마랑 치과 도착
Negative,0.9727808237075806,치과에서는 머래?
Negative,0.9367399215698242,"엄마집근처치과로 와봤는데 
여기는 거의 1000만원이라고하네"
Negative,0.9964610934257507,흐음..
Negative,0.9691556096076965,틀니 하는데 1000만원인거야?
Negative,0.934227466583252,기존 치아 치료랑 틀니 해서 900만원정도
Negative,0.9697941541671753,음….. 너무… 비싸긴한데.. ㅠㅠ
Negative,0.9236959218978882,처음에 600만원이라고 했던 곳은 어딘데?
Positive,0.9457688927650452,일단 지금 치아 다 뜯어서 살릴수있는 치아는 살리고
Negative,0.9380264282226562,반석에있는 치과
Negative,0.9953774213790894,거기는 어떻게 하는지 설명을 제대로 못들어서
Negative,0.8643368482589722,가봐야할거같아
Negative,0.9894752502441406,하루 이틀안에 끝날 치료는 아닌 것 같네
Negative,0.55824214220047,응웅
Negative,0.9645945429801941,그렇군 그럼 반석에 있는 치과는 오늘 안가는거야?
Negative,0.9940637946128845,"채아가 머리가어지럽다고 연락이왔네. 
태권도 안보내고 5시-5시반 사이에 유치원으로 데리러 가겠다고 했어요."
Negative,0.9295995831489563,응 알았어
Negative,0.9696519374847412,연아는 5시반 아파트앞에서 차 내려요
Negative,0.9940703511238098,혹시 모르니 유치원 선생님 번호좀 알려줘
Negative,0.9504408240318298,연락처: 해관유치원
Negative,0.90813809633255,초록반 남채아
Positive,0.949787974357605,나 혼자가서 설명들을수있다고해서 나혼자 가는중!
Negative,0.9911862015724182,비 엄청온다여기
Negative,0.5919052362442017,낮에는 대전 폭염주의보였던거같은데
Positive,0.840592086315155,반석위치과의원 대전 유성구 북유성대로 303 뉴타운프라자 2층
Positive,0.9904329776763916,원장선생님께 전화드렸어요!(원장선생님이운전하심)
Negative,0.9466645121574402,사진
Negative,0.9759188294410706,6시반차도 있는데 아슬아슬해서
Positive,0.9919177889823914,일단 이거로 예매했엉!
Positive,0.7495225667953491,오케이 알겠어 ㅋ
Positive,0.9900851249694824,이제 기차타고 출발!
Negative,0.9750891327857971,사진 2장
Positive,0.896568238735199,채아가 만든 주먹밥
Positive,0.9475248456001282,우왕ㅋㅋㅋㅋ너무귀엽다!!
Positive,0.9693583250045776,귀여워 ㅋㅋㅋㅋ잘만들었다ㅋㅋㅋㅋ
